Year,Temperature,Population(Million),GDP in USD Billion,Per Capita Consumption
2012,24.77,12.74,1827.64,943.02
2013,24.65,12.91,1856.72,970.36
2014,24.79,13.07,2039.13,1011
2015,24.91,13.22,2103.59,1000.04
2016,25.27,13.38,2294.8,1185.38
2017,25.26,13.54,2651.49,1020.72
2018,25.01,13.69,2702.93,1106
2019,24.95,13.83,2835.61,1191
2020,24.8,13.96,2671.6,1206
